Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TRT,Trio-Tech International Common Stock,$5.121,-0.019,-0.37%,19001752.00,United States,,16986,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.699,-0.076,-9.806%,146210710.00,Canada,,60473561,Basic Industries,Precious Metals
TRXC,TransEnterix Inc. Common Stock,$4.58,0.37,8.789%,806064593.00,United States,,30420869,Health Care,Medical/Dental Instruments
UAMY,United States Antimony Corporation Common Stock,$0.975,0.1156,13.451%,74597348.00,United States,,34203858,Capital Goods,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$14.44,2.44,20.333%,846709111.00,United States,,18499440,Capital Goods,Aerospace
UEC,Uranium Energy Corp. Common Stock,$2.16,0.16,8.00%,429967239.00,Canada,,9544614,Basic Industries,Precious Metals
UFAB,Unique Fabricating Inc. Common Stock,$6.96,-0.04,-0.571%,68062863.00,United States,2015,24789,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.07,0.0787,7.939%,199660076.00,Canada,,7726150,Basic Industries,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.69,-0.05,-1.825%,345257613.00,,2017,1149097,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$32.87,0.02,0.061%,1772888022.00,United States,2004,159330,,
UUU,Universal Security Instruments Inc. Common Stock,$9.42,0.29,3.176%,21787396.00,United States,,784185,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.34,-0.26,-4.643%,717111174.00,,,6585769,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.43,-0.04,-0.276%,69799353.00,United States,1993,6417,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.48,-0.04,-0.296%,61043412.00,United States,1993,2640,,
VGZ,Vista Gold Corp Common Stock,$1.07,0.06,5.941%,109872633.00,United States,,849380,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.09,-0.01,-0.099%,253826563.00,,2021,164895,Finance,Business Services
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.71,0.03,0.257%,519825062.00,United States,,123252,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.37,0.00,0.00%,153821516.00,United States,1993,10867,,
VNRX,VolitionRX Limited Common Stock,$6.27,-0.23,-3.538%,306700975.00,Singapore,2015,557315,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VOLT,Volt Information Sciences Inc. Common Stock,$3.05,-0.08,-2.556%,66296554.00,United States,,118724,Technology,Professional Services
WRN,Western Copper and Gold Corporation Common Stock,$1.24,0.00,0.00%,168141067.00,Canada,2011,629087,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$2.62,0.16,6.504%,56840926.00,United States,,1321791,Capital Goods,Telecommunications Equipment
WYY,WidePoint Corporation Common Stock,$14.12,-0.28,-1.944%,119437324.00,United States,,152026,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.9226,0.1131,13.972%,53610778.00,United States,,15688091,Basic Industries,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.84,0.15,8.876%,141424303.00,United States,,287623,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
XXII,22nd Century Group Inc. Common Stock,$3.23,0.13,4.194%,448515193.00,United States,,3776239,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$5.90,0.44,8.059%,307572133.00,United States,2017,2288154,Consumer Non-Durables,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$9.6899,0.4899,5.325%,,United States,,72541,,
ZDGE,Zedge Inc. Class B Common Stock ,$14.00,2.40,20.69%,175333018.00,,2016,880773,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$2.32,-0.38,-14.074%,1924532914.00,United States,2017,346172321,Health Care,Major Pharmaceuticals
